Date,Satellite Latitude,Satellite Longitude,Satellite NO2,Ground Latitude,Ground Longitude,Station Name,City,Ground NO2,Ground PM2.5,Ground PM10,Ground NO,Ground SO2,Ground CO,NDVI,Population Density,Distance (km)
01-06-2024,18.659334,73.82903,1.4816245e-05,18.6486,73.8121,Gavalinagar  Pimpri Chinchwad - MPCB ,Pimpri-Chinchwad,7.38,16.25,45.92,3.86,1.02,0.21,0.095208205,6,2.145300718588668
01-06-2024,18.68477,73.75394,1.3850589e-05,18.6697,73.7786,Transport Nagar-Nigdi  Pune - IITM ,Pune,15.24,13.09,43.79,4.05,,1.78,0.12692764,6,3.090321923148603
01-06-2024,18.708128,73.81517,1.3256277e-05,18.7116,73.7891,Park Street Wakad  Pimpri Chinchwad - MPCB ,Pimpri-Chinchwad,19.71,53.12,97.44,2.45,2.61,0.93,0.0841938,5,2.776411886638196
01-06-2024,19.022263,73.086716,1.8295848e-05,19.0364,73.0895,Sector-2E Kalamboli  Navi Mumbai - MPCB ,Navi Mumbai,14.36,29.86,104.26,2.77,5.49,0.37,0.18286593,6,1.5920677516465012
01-06-2024,19.039255,72.85422,1.1088946e-05,19.0404,72.8589,Sion  Mumbai - MPCB ,Mumbai,77.49,17.91,52.45,77.78,20.51,0.96,0.08861043,6,0.5086915167659656
01-06-2024,19.044538,73.00525,1.7742943e-05,19.0422,73.0184,Nerul  Navi Mumbai - MPCB ,Navi Mumbai,12.78,12.57,68.83,10.57,12.77,0.22,0.101206176,6,1.4082158962702782
01-06-2024,19.066448,72.92305,1.2323185e-05,19.0703,72.9,Kurla  Mumbai - MPCB ,Mumbai,10.9,29.32,120.04,5.36,25.51,0.15,0.11971905,6,2.4631736414482024
01-06-2024,19.087912,72.840065,1.0219293e-05,19.1003,72.8363,Vile Parle West  Mumbai - MPCB ,Mumbai,5.43,5.91,81.25,2.16,11.12,0.63,0.08176355,6,1.4273574688569828
01-06-2024,19.09704,73.139175,1.5257352e-05,19.0844,73.1183,Tondare-Taloja  Navi Mumbai - MPCB ,Navi Mumbai,19.04,17.2,67.52,11.25,1.53,0.23,0.092128366,6,2.6045116943252893
01-06-2024,19.113577,74.762535,1.2306382e-05,19.0983,74.7387,Tarakpur  Ahmednagar - MPCB ,Ahmednagar,14.03,39.98,77.79,6.08,17.03,0.7,0.26443484,5,3.0248915054627346
01-06-2024,19.115114,72.90891,1.17405525e-05,19.1261,72.9197,Powai  Mumbai - MPCB ,Mumbai,13.36,11.77,51.68,8.53,11.41,0.72,0.08575801,6,1.6636430349924287
01-06-2024,19.162289,77.32517,1.2199872e-05,19.153,77.321,Sneh Nagar  Nanded - MPCB ,Nanded,23.1,62.25,127.73,1.29,3.06,0.76,0.07106149,6,1.117893442477968
01-06-2024,19.190578,72.96276,1.3029257e-05,19.1811,72.9457,Khindipada-Bhandup West  Mumbai - IITM ,Mumbai,4.0,19.06,35.54,2.02,4.32,0.32,0.08856846,6,2.0785023369740423
01-06-2024,19.19688,73.256226,1.19147e-05,19.2077,73.2789,Katrap  Badlapur - MPCB ,Badlapur,13.21,40.7,80.65,7.98,12.3,0.61,0.09481097,6,2.6683924814508173
01-06-2024,19.212479,72.8805,1.0282511e-05,19.2057,72.8576,Kandivali West  Mumbai - BMC ,Mumbai,8.77,8.32,21.2,2.85,0.94,0.24,0.2666416,6,2.5223658661449324
01-06-2024,19.239319,72.94862,1.4469228e-05,19.226,72.9733,Upvan Fort  Thane - MPCB ,Thane,7.97,15.23,52.96,1.79,6.76,0.45,0.12605426,6,2.9845572633698625
01-06-2024,19.261127,76.782684,1.7059636e-05,19.2687,76.7733,Masoom Colony  Parbhani - MPCB ,Parbhani,15.54,46.34,122.55,2.27,27.55,0.72,0.14322773,5,1.2945630888805917
01-06-2024,19.291891,73.08268,1.7653181e-05,19.3064,73.0614,Gokul Nagar  Bhiwandi - MPCB ,Bhiwandi,9.27,28.83,56.08,5.36,10.22,0.36,0.09295238,6,2.753505459111119
